PHOENIX module phox; 01/23/18 at 16:23:51 -08:00
energy (meV),data without elastic peak,error of data without elastic peak
 3.14096E+01, 1.57568E+02, 1.34320E+01
 3.16573E+01, 1.73628E+02, 1.28266E+01
 3.19051E+01, 1.58651E+02, 1.25877E+01
 3.21528E+01, 1.62434E+02, 1.27834E+01
 3.24005E+01, 1.71093E+02, 1.35562E+01
 3.26482E+01, 1.65999E+02, 1.26149E+01
 3.28959E+01, 1.51396E+02, 1.24002E+01
 3.31436E+01, 1.54504E+02, 1.26179E+01
 3.33914E+01, 1.66148E+02, 1.34675E+01
 3.36391E+01, 1.74711E+02, 1.25634E+01
 3.38868E+01, 1.42307E+02, 1.22889E+01
 3.41345E+01, 1.58263E+02, 1.31590E+01
 3.43822E+01, 1.68918E+02, 1.25266E+01
 3.46299E+01, 1.47260E+02, 1.30252E+01
 3.48777E+01, 1.68142E+02, 1.23944E+01
 3.51254E+01, 1.52226E+02, 1.26787E+01
 3.53731E+01, 1.51271E+02, 1.24181E+01
 3.56208E+01, 1.40993E+02, 1.12849E+01
 3.58685E+01, 1.24612E+02, 1.14725E+01
 3.61162E+01, 1.28654E+02, 1.14692E+01
 3.63640E+01, 1.26291E+02, 1.09684E+01
 3.66117E+01, 1.32621E+02, 1.23037E+01
 3.68594E+01, 1.33030E+02, 1.11647E+01
 3.71071E+01, 1.24663E+02, 1.16082E+01
 3.73548E+01, 1.23330E+02, 1.05993E+01
 3.76025E+01, 1.10116E+02, 1.12987E+01
 3.78503E+01, 1.24910E+02, 1.14622E+01
 3.80980E+01, 1.31455E+02, 1.08021E+01
 3.83457E+01, 1.03014E+02, 1.01908E+01
 3.85934E+01, 1.03655E+02, 1.09008E+01
 3.88411E+01, 1.29438E+02, 1.11132E+01
 3.90888E+01, 1.07570E+02, 1.03914E+01
 3.93366E+01, 1.01718E+02, 1.04815E+01
 3.95843E+01, 1.15564E+02, 1.14803E+01
 3.98320E+01, 1.18273E+02, 1.10007E+01
 4.00797E+01, 1.07276E+02, 9.96218E+00
 4.03274E+01, 1.07839E+02, 1.05898E+01
 4.05751E+01, 1.09766E+02, 1.07392E+01
 4.08229E+01, 1.13805E+02, 1.08687E+01
 4.10706E+01, 1.12680E+02, 1.06239E+01
 4.13183E+01, 1.06672E+02, 1.08396E+01
 4.15660E+01, 1.14200E+02, 1.06323E+01
 4.18137E+01, 1.20993E+02, 1.17121E+01
 4.20614E+01, 1.34026E+02, 1.17991E+01
 4.23092E+01, 1.40881E+02, 1.13426E+01
 4.25569E+01, 1.23585E+02, 1.20022E+01
 4.28046E+01, 1.34325E+02, 1.18699E+01
 4.30523E+01, 1.49651E+02, 1.20221E+01
 4.33000E+01, 1.32234E+02, 1.13842E+01
 4.35477E+01, 1.34997E+02, 1.23929E+01
 4.37955E+01, 1.48861E+02, 1.19425E+01
 4.40432E+01, 1.24597E+02, 1.14344E+01
 4.42909E+01, 1.30850E+02, 1.08535E+01
 4.45386E+01, 1.17933E+02, 1.12686E+01
 4.47863E+01, 1.00261E+02, 9.31615E+00
 4.50340E+01, 9.16892E+01, 1.05389E+01
 4.52818E+01, 1.04710E+02, 9.40756E+00
 4.55295E+01, 8.48487E+01, 1.01769E+01
 4.57772E+01, 9.64881E+01, 9.51275E+00
 4.60249E+01, 7.81754E+01, 8.57990E+00
 4.62726E+01, 6.87684E+01, 8.05827E+00
 4.65203E+01, 5.32985E+01, 7.09070E+00
 4.67681E+01, 4.96699E+01, 7.23985E+00
 4.70158E+01, 4.16950E+01, 6.34238E+00
 4.72635E+01, 4.02492E+01, 6.40030E+00
 4.75112E+01, 3.19130E+01, 5.77313E+00
 4.77589E+01, 3.04197E+01, 5.90638E+00
 4.80066E+01, 3.21347E+01, 5.80971E+00
 4.82544E+01, 3.18366E+01, 5.99153E+00
 4.85021E+01, 2.44898E+01, 4.59919E+00
 4.87498E+01, 1.50979E+01, 4.55000E+00
 4.89975E+01, 1.85182E+01, 4.81964E+00
 4.92452E+01, 2.18933E+01, 4.59915E+00
 4.94929E+01, 1.13880E+01, 3.93737E+00
 4.97407E+01, 1.37863E+01, 4.50732E+00
 4.99884E+01, 1.89125E+01, 4.51712E+00
 5.02361E+01, 1.39768E+01, 4.09111E+00
 5.04838E+01, 1.86635E+01, 4.88056E+00
 5.07315E+01, 1.52582E+01, 3.95737E+00
 5.09792E+01, 1.38143E+01, 4.29258E+00
 5.12270E+01, 1.18466E+01, 3.61653E+00
 5.14747E+01, 1.16368E+01, 3.66140E+00
 5.17224E+01, 8.49460E+00, 3.75617E+00
 5.19701E+01, 8.26927E+00, 2.73724E+00
